skill_a,skill_b,count
Redshift,Unit Testing,104
Azure,Penetration Testing,104
Confluence,Terraform,104
Databricks,Tableau,104
Firewalls,Terraform,104
Ansible,Confluence,104
CI/CD,jQuery,104
Data Modeling,SSIS,104
Django,Docker,104
Excel,SAS,103
Redis,TypeScript,103
Bash,PostgreSQL,103
Data Governance,Databricks,103
Angular,DynamoDB,103
CI/CD,Rust,103
Cassandra,Data Analysis,103
Power BI,Stakeholder Mgmt,103
C++,MongoDB,103
Machine Learning,Prototyping,103
Risk Management,Tableau,103
Data Visualization,Oracle,103
Databricks,TensorFlow,103
C,Docker,103
Jira,Kotlin,102
MLflow,TensorFlow,102
Incident Response,Kubernetes,102
ETL,Git,102
Kanban,Windows,102
CISSP,PowerShell,102
Java,LLMs / GenAI,102
AWS,Rust,102
CSS,Software Architecture,102
HTML,User Research,102
DevOps,GraphQL,102
Data Visualization,TypeScript,102
Datadog,DevOps,102
Flink,Java,102
Prototyping,React,102
Big Data,Jenkins,102
Active Directory,Splunk,101
Elasticsearch,REST API,101
PowerShell,REST API,101
AWS,Salesforce,101
Elasticsearch,Spark,101
Hadoop,REST API,101
Cybersecurity,Unix,101
Python,SSIS,101
Data Visualization,TensorFlow,101
SQL,Swift,101
DevOps,Penetration Testing,101
React,System Design,101
Ruby,Unix,101
Swift,Unit Testing,101
GitHub,MongoDB,100
Hadoop,PyTorch,100
Oracle,Snowflake,100
Bash,Hadoop,100
Machine Learning,Stakeholder Mgmt,100
PHP,jQuery,100
Figma,GraphQL,100
Bash,Cybersecurity,100
Databricks,Hadoop,100
C#,Kanban,100
.NET,Linux,100
Confluence,MySQL,100
Jira,PowerShell,100
Big Data,PostgreSQL,100
Docker,Kotlin,100
Angular,Terraform,100
GCP,Software Architecture,99
SQL,Vue,99
Django,SQL,99
Java,VMware,99
Spring,TypeScript,99
Distributed Systems,PostgreSQL,99
Data Modeling,REST API,99
Elasticsearch,MySQL,99
Hive,React,99
GraphQL,Microservices,99
CI/CD,Risk Management,99
C#,ETL,99
React,Spark,98
Risk Management,System Design,98
Angular,Kanban,98
Distributed Systems,Rust,98
Distributed Systems,MySQL,98
Data Warehousing,Git,98
CI/CD,Datadog,98
Data Visualization,Microservices,98
CI/CD,PyTorch,98
Splunk,Unix,98
C,Data Analysis,98
CSS,Spring Boot,98
MySQL,XML,98
Deep Learning,Pandas,98
Figma,Jira,98
JavaScript,Rust,97
CSS,Machine Learning,97
DynamoDB,Terraform,97
Alteryx,Power BI,97
Jira,MATLAB,97
GitLab,React,97
Angular,Scala,97
Stakeholder Mgmt,Tableau,97
Azure,Dynamics 365,97
GraphQL,PostgreSQL,97
ETL,GCP,97
AWS,Informatica,97
System Design,Unit Testing,97
ETL,Redshift,97
Elasticsearch,Git,97
Software Architecture,System Design,97
Data Warehousing,SSIS,96
C,CI/CD,96
JavaScript,Splunk,96
Ansible,REST API,96
Docker,ETL,96
Node.js,Ruby,96
C,JavaScript,96
Excel,Stakeholder Mgmt,96
Linux,Snowflake,96
CI/CD,Data Governance,96
DevOps,Kotlin,96
Confluence,TypeScript,96
Cassandra,Unix,96
Go,Hive,96
Microservices,Unix,96
CSS,Salesforce,95
DevOps,PHP,95
Power BI,SAP,95
GCP,Spring,95
Linux,TensorFlow,95
Airflow,dbt,95
CI/CD,TensorFlow,95
Go,System Design,95
Kafka,Splunk,95
GitLab,Microservices,95
CISSP,Data Analysis,95
Hadoop,JavaScript,95
Oracle,Spark,94
Hive,Node.js,94
Datadog,Java,94
C#,Terraform,94
AWS,SIEM,94
Ansible,Spring,94
Docker,Flask,94
MySQL,Spring Boot,94
AWS,Flask,94
Kanban,Node.js,94
DynamoDB,GCP,94
Data Visualization,Pandas,94
Microservices,Windows,94
Node.js,Oracle,93
GitHub,Redis,93
Jira,jQuery,93
Unix,XML,93
MongoDB,Redshift,93
Firewalls,Splunk,93
Risk Management,VMware,93
AWS,C,93
Flask,SQL,93
PostgreSQL,Software Architecture,93
Python,SageMaker,93
Excel,Salesforce,93
Confluence,Tableau,93
JSON,Spring Boot,93
MongoDB,Spring Boot,93
Data Modeling,HTML,92
Agile / Scrum,Django,92
AWS,Swift,92
Java,Prometheus,92
Jira,Splunk,92
Data Modeling,Microservices,92
GitHub,MySQL,92
Cassandra,Elasticsearch,92
Java,ServiceNow,92
DynamoDB,HTML,92
Go,PHP,92
Data Warehousing,Jira,92
Confluence,JSON,92
Salesforce,Tableau,92
Agile / Scrum,Vue,92
SIEM,Splunk,92
Cassandra,Spring,92
HTML,PowerShell,92
Go,Software Architecture,92
Elasticsearch,Microservices,92
.NET,GitHub,92
HTML,ServiceNow,92
Elasticsearch,Go,91
Data Modeling,Unit Testing,91
Data Analysis,ServiceNow,91
React,Scala,91
Docker,jQuery,91
GitHub,Power BI,91
Agile / Scrum,SSIS,91
Data Analysis,Google Analytics,91
Data Pipeline,MySQL,91
Data Analysis,PowerShell,91
JavaScript,User Research,91
Linux,PyTorch,91
DevOps,Firewalls,91
Elasticsearch,Node.js,91
Data Visualization,JSON,91
Azure,MLflow,91
C#,System Design,91
Elasticsearch,Hadoop,91
Deep Learning,Git,91
GCP,Pandas,90
PostgreSQL,Ruby,90
GraphQL,JSON,90
Data Governance,Excel,90
GCP,Risk Management,90
Microservices,System Design,90
C++,PowerShell,90
Bash,Spark,90
GitHub,Kanban,90
Spring Boot,XML,90
Data Visualization,PyTorch,90
C,Kubernetes,89
GitHub,Spark,89
Hive,PostgreSQL,89
Data Pipeline,Git,89
REST API,Scala,89
DynamoDB,Jenkins,89
GitLab,NoSQL,89
Active Directory,JavaScript,89
Deep Learning,Hadoop,89
Node.js,Unix,89
Firewalls,SQL,89
Informatica,Snowflake,89
GCP,Spring Boot,89
GitLab,MySQL,89
GitHub,JSON,88
Kubernetes,Rust,88
CSS,Data Visualization,88
JavaScript,Snowflake,88
Data Modeling,Linux,88
Git,TensorFlow,88
A/B Testing,Agile / Scrum,88
Prototyping,Stakeholder Mgmt,87
Linux,Penetration Testing,87
CSS,User Research,87
Grafana,Kafka,87
Elasticsearch,Linux,87
Jira,Prototyping,87
Databricks,Pandas,87
Bash,MySQL,87
Databricks,Kafka,87
Risk Management,SIEM,87
REST API,Swift,87
Bash,Data Analysis,87
Django,Kubernetes,87
AWS,ServiceNow,87
CI/CD,Tableau,87
Flink,SQL,87
Distributed Systems,System Design,87
C#,Unix,86
Jira,R,86
DevOps,PyTorch,86
Angular,GraphQL,86
C,Jira,86
Data Analysis,Splunk,86
Cassandra,Git,86
CISSP,SQL,86
Data Warehousing,Unix,86
Airflow,Data Governance,86
Angular,PHP,86
Cybersecurity,HTML,86
GCP,NumPy,86
.NET,PowerShell,85
CI/CD,VMware,85
GraphQL,XML,85
C,Unit Testing,85
GitHub,Spring Boot,85
Confluence,MongoDB,85
Agile / Scrum,MLflow,85
Cassandra,Data Pipeline,85
React,Ruby,85
JSON,MongoDB,85
Grafana,SQL,85
Distributed Systems,Software Architecture,85
Python,Swift,85
C,Machine Learning,85
C,Go,84
C++,Cassandra,84
DevOps,NLP,84
DevOps,Rust,84
JSON,PostgreSQL,84
Cassandra,Tableau,84
Hive,Linux,84
Git,PyTorch,84
Azure,Informatica,84
Elasticsearch,Terraform,84
DevOps,TensorFlow,84
Data Pipeline,Terraform,84
CISSP,DevOps,84
Linux,SIEM,84
Confluence,Hadoop,84
Looker,Power BI,84
Grafana,Splunk,84
Pandas,Tableau,84
Data Governance,Kubernetes,83
Power BI,REST API,83
Big Data,Jira,83
Next.js,TypeScript,83
GraphQL,Kafka,83
Cassandra,Spring Boot,83
Go,MongoDB,83
GitLab,Ruby,83
GCP,Incident Response,83
PostgreSQL,XML,83
C++,PHP,82
Big Data,Deep Learning,82
Linux,R,82
Confluence,Power BI,82
CI/CD,Incident Response,82
GitLab,HTML,82
Angular,Ansible,82
GitHub,ServiceNow,82
Data Modeling,Jenkins,82
Git,Swift,82
Data Warehousing,Statistical Analysis,82
DevOps,SSIS,82
AWS,Statistical Analysis,82
Cassandra,Data Visualization,82
Docker,R,82
LLMs / GenAI,Spark,82
Data Analysis,dbt,82
Agile / Scrum,Grafana,82
Git,Salesforce,81
Ansible,Spark,81
Kubernetes,Risk Management,81
GitLab,Node.js,81
Firewalls,Kubernetes,81
Data Analysis,LLMs / GenAI,81
Kotlin,Microservices,81
Ansible,Node.js,81
Oracle,Terraform,81
Agile / Scrum,SAP,81
Software Architecture,Windows,81
REST API,Unix,81
Airflow,Tableau,81
PostgreSQL,Tableau,81
React,Swift,81
Data Analysis,Linear,81
Data Visualization,Prototyping,81
Kubernetes,ServiceNow,81
Data Analysis,Figma,81
Angular,GitLab,81
Databricks,MLflow,80
Jira,Scala,80
C++,Linear,80
Agile / Scrum,Datadog,80
Machine Learning,Oracle,80
NLP,Pandas,80
Snowflake,Unix,80
Confluence,Go,80
REST API,ServiceNow,80
Excel,SAP,80
Databricks,NumPy,80
Prototyping,Unit Testing,80
Incident Response,SQL,80
Git,VMware,80
Active Directory,Kubernetes,80
AWS Security,CISSP,80
Microservices,jQuery,80
GCP,LLMs / GenAI,80
Excel,Oracle,80
HTML,Redis,80
NLP,NumPy,79
Azure,Datadog,79
MongoDB,XML,79
Data Governance,Docker,79
Data Modeling,dbt,79
GitHub,Oracle,79
C,DevOps,79
.NET,Jenkins,79
Databricks,NoSQL,79
Angular,Distributed Systems,79
Jira,Swift,79
CI/CD,Swift,79
AWS,Penetration Testing,79
Machine Learning,SageMaker,79
Git,Snowflake,79
Elasticsearch,Machine Learning,79
Bash,Grafana,79
Data Visualization,Risk Management,79
Data Visualization,PostgreSQL,79
Datadog,Jenkins,79
AWS Security,Cybersecurity,79
Data Pipeline,Distributed Systems,79
Linux,Redshift,79
Ansible,Incident Response,78
Ansible,Data Analysis,78
Angular,Elasticsearch,78
CSS,ServiceNow,78
Confluence,Oracle,78
Confluence,Stakeholder Mgmt,78
Windows,jQuery,78
SAS,Statistical Analysis,78
Airflow,MongoDB,78
Alteryx,Machine Learning,78
DevOps,Stakeholder Mgmt,78
Spring Boot,TypeScript,78
MATLAB,System Design,78
Data Visualization,MongoDB,78
Databricks,Jupyter,78
Bash,C#,78
Jenkins,Software Architecture,78
Big Data,PyTorch,78
Cybersecurity,System Design,78
Cassandra,REST API,78
Ruby,Windows,78
Datadog,Splunk,78
Data Visualization,XML,78
Ansible,React,77
C++,Redis,77
Airflow,Go,77
Data Visualization,GraphQL,77
HTML,Ruby,77
Distributed Systems,Jenkins,77
Spark,Spring,77
Elasticsearch,TypeScript,77
.NET,NoSQL,77
Jira,VMware,77
Data Pipeline,R,77
Angular,Hadoop,77
Deep Learning,NoSQL,77
Datadog,Grafana,77
DevOps,R,77
Data Analysis,XML,77
ETL,PostgreSQL,77
Confluence,Data Visualization,77
JavaScript,Risk Management,77
Airflow,DevOps,77
Big Data,TensorFlow,77
Figma,Git,77
Data Analysis,JSON,77
HTML,Spark,76
GraphQL,MongoDB,76
C++,Tableau,76
Go,Splunk,76
Azure,Prototyping,76
Angular,Big Data,76
Data Visualization,SSIS,76
GitHub,PowerShell,76
Big Data,React,76
Informatica,Oracle,76
AWS,Flink,76
Python,SAP,76
Elasticsearch,HTML,76
Ansible,Unit Testing,76
CSS,Power BI,76
Linux,Redis,76
Active Directory,Ansible,76
ETL,Jira,75
CISSP,Kubernetes,75
NoSQL,TensorFlow,75
Big Data,Unix,75
BigQuery,GCP,75
R,Risk Management,75
Java,Vue,75
Django,Git,75
Git,Grafana,75
Cassandra,Oracle,75
Angular,Redis,75
Agile / Scrum,Flask,75
NoSQL,System Design,75
CI/CD,Redshift,75
Helm,Terraform,74
GitLab,Kafka,74
DynamoDB,Kafka,74
Google Analytics,SQL,74
ETL,JavaScript,74
Linux,Spring Boot,74
JavaScript,Next.js,74
GitLab,Oracle,74
MongoDB,Windows,74
JSON,Kafka,74
Go,NLP,74
Jupyter,MLflow,74
PHP,Unit Testing,74
Kubernetes,Tableau,74
Cassandra,DynamoDB,74
MLflow,Pandas,74
C++,JSON,74
Angular,Snowflake,74
Confluence,Cybersecurity,74
Confluence,Software Architecture,74
Elasticsearch,Jira,74
Airflow,MySQL,74
Confluence,Spring,74
Excel,Java,73
Docker,Tableau,73
CI/CD,NLP,73
AWS,Jupyter,73
GitHub,Snowflake,73
Airflow,Cassandra,73
AWS,Prototyping,73
Data Warehousing,JavaScript,73
Alteryx,SAS,73
CI/CD,Hive,73
Ansible,Distributed Systems,73
Bash,NoSQL,73
GCP,GraphQL,73
.NET,Power BI,73
Helm,Kafka,73
Jira,Redis,73
CI/CD,Salesforce,73
C#,Data Modeling,73
Airflow,Data Visualization,73
Alteryx,Data Visualization,73
Ansible,MongoDB,73
Flask,React,73
Data Warehousing,Distributed Systems,72
Docker,Incident Response,72
R,Snowflake,72
Jupyter,SQL,72
Data Modeling,MongoDB,72
Kanban,TypeScript,72
Confluence,Snowflake,72
MongoDB,Unix,72
Go,GraphQL,72
C,Software Architecture,72
ETL,Hive,72
NLP,Tableau,72
Data Governance,Jira,72
PowerShell,Risk Management,72
Flink,Hadoop,72
Git,System Design,72
C#,R,72
Hive,Unix,72
Excel,JavaScript,71
GitLab,PowerShell,71
Power BI,Windows,71
Cybersecurity,Jenkins,71
DevOps,Redshift,71
Angular,Cassandra,71
Python,Vue,71
NoSQL,Ruby,71
Kubernetes,R,71
Distributed Systems,Redis,71
Hive,Unit Testing,71
MLflow,NumPy,71
Redshift,Unix,71
Jenkins,Snowflake,71
PostgreSQL,Unix,71
AWS,Vue,71
Kubernetes,LLMs / GenAI,70
HTML,Vue,70
GitLab,Grafana,70
Git,Pandas,70
Confluence,MATLAB,70
Agile / Scrum,Rust,70
SSIS,Tableau,70
Confluence,XML,70
Kafka,Windows,70
Linux,Tableau,70
Data Warehousing,GitHub,70
C++,Data Modeling,70
Bash,Machine Learning,70
Kafka,System Design,70
Kotlin,TypeScript,70
C#,Cybersecurity,70
GitHub,Ruby,70
Elasticsearch,Grafana,70
CSS,GitLab,70
GitHub,Hadoop,70
Agile / Scrum,Firewalls,70
Docker,Power BI,70
Flask,JavaScript,70
Git,Prototyping,69
GitHub,Grafana,69
Git,NLP,69
NoSQL,Splunk,69
Incident Response,Terraform,69
Bash,Big Data,69
Helm,SQL,69
BigQuery,Data Analysis,69
REST API,Splunk,69
Kafka,Power BI,69
JSON,Unix,69
Docker,Pandas,69
Flink,Kubernetes,68
Agile / Scrum,Looker,68
HTML,Terraform,68
GitHub,Kotlin,68
ETL,Excel,68
Active Directory,Java,68
PHP,Windows,68
ETL,REST API,68
TypeScript,Windows,68
Node.js,Spark,68
Ansible,Hadoop,68
GCP,VMware,68
Power BI,Risk Management,68
Linear,SQL,68
Flask,Kubernetes,68
Kanban,Risk Management,68
Ansible,Elasticsearch,68
Unix,VMware,68
NoSQL,PyTorch,68
Redis,Spark,68
GitLab,MongoDB,68
Ansible,Datadog,68
Big Data,Terraform,68
Angular,Power BI,68
Cybersecurity,Terraform,68
Bash,Microservices,68
Data Modeling,Terraform,67
Jenkins,Kotlin,67
Alteryx,Java,67
Oracle,Splunk,67
CI/CD,Django,67
Looker,R,67
CSS,Data Modeling,67
GitLab,Machine Learning,67
Big Data,Statistical Analysis,67
Data Visualization,Kanban,67
Oracle,PowerShell,67
PowerShell,Ruby,67
GCP,Grafana,67
JavaScript,Swift,67
GitLab,TypeScript,67
Docker,Vue,67
GitHub,XML,67
Go,Snowflake,67
LLMs / GenAI,Scala,67
Confluence,Spring Boot,67
Docker,Firewalls,67
Databricks,R,67
CSS,Redis,67
Cybersecurity,Data Visualization,67
Bash,HTML,67
PowerShell,ServiceNow,67
DevOps,Prototyping,67
ETL,MongoDB,66
PostgreSQL,jQuery,66
Linux,jQuery,66
Kotlin,NoSQL,66
Bash,Incident Response,66
CSS,Unix,66
ETL,Jenkins,66
.NET,Software Architecture,66
Java,Stakeholder Mgmt,66
Firewalls,GCP,66
C#,GitLab,66
Confluence,Data Modeling,66
C++,VMware,66
Databricks,Kubernetes,66
Data Warehousing,NLP,66
Informatica,Tableau,66
PostgreSQL,PowerShell,66
Ansible,Machine Learning,66
Elasticsearch,GCP,66
Oracle,SAP,66
C++,Hive,66
Cybersecurity,NoSQL,66
Power BI,Redshift,66
Ansible,JSON,65
Pandas,R,65
Data Warehousing,REST API,65
Jenkins,Tableau,65
Data Modeling,Salesforce,65
Bash,Oracle,65
MongoDB,Tableau,65
Azure,Statistical Analysis,65
Angular,System Design,65
.NET,GCP,65
Data Governance,Informatica,65
Docker,Rust,65
Data Warehousing,Looker,65
ArgoCD,Kubernetes,65
MySQL,PowerShell,65
CSS,Cybersecurity,65
Data Visualization,Salesforce,65
.NET,MySQL,65
Azure,Kotlin,65
Spark,Statistical Analysis,65
Informatica,Java,65
Kafka,Prometheus,64
Django,Machine Learning,64
Google Analytics,Python,64
DevOps,Helm,64
Rust,TypeScript,64
Next.js,Node.js,64
Azure,Zero Trust,64
CISSP,Docker,64
Agile / Scrum,Prometheus,64
Pandas,Spark,64
C,Unix,64
Data Governance,Statistical Analysis,64
PostgreSQL,Power BI,64
CSS,Terraform,64
Active Directory,GCP,64
Data Visualization,NumPy,64
Microservices,Splunk,64
Google Analytics,Tableau,64
Power BI,Scala,64
CSS,PowerShell,64
Data Modeling,Stakeholder Mgmt,64
Flask,Git,64
C#,MATLAB,64
Data Analysis,Elasticsearch,64
MongoDB,Ruby,64
HTML,System Design,63
Data Modeling,SAS,63
GCP,JSON,63
Cybersecurity,Oracle,63
GitLab,Unit Testing,63
Datadog,Go,63
REST API,Ruby,63
PowerShell,Unix,63
Agile / Scrum,Statistical Analysis,63
Bash,Scala,63
Data Pipeline,MongoDB,63
Kafka,Software Architecture,63
Confluence,PowerShell,63
Data Analysis,GitLab,63
Hive,Power BI,63
Git,Hive,63
Databricks,Git,63
Data Pipeline,Go,63
DynamoDB,Go,63
ETL,Linux,63
Java,Pandas,63
Kubernetes,Power BI,63
Data Visualization,Google Analytics,63
Data Modeling,Looker,63
.NET,Data Analysis,63
Bash,Confluence,63
C#,Data Visualization,63
Kotlin,Node.js,63
DevOps,Swift,63
GCP,Jupyter,62
C#,Kotlin,62
REST API,System Design,62
CI/CD,Prototyping,62
GCP,Kotlin,62
GraphQL,Jira,62
CSS,Vue,62
Ansible,Risk Management,62
Spring,Terraform,62
Kafka,R,62
Azure,C,62
TypeScript,Vue,62
GCP,Redis,62
Active Directory,Jira,62
Cybersecurity,Power BI,62
Jenkins,Power BI,62
JSON,Terraform,62
Distributed Systems,Ruby,62
Unit Testing,Unix,62
Data Governance,Hive,62
Airflow,Databricks,62
REST API,Vue,62
Looker,Snowflake,62
Oracle,Salesforce,62
C++,Kotlin,62
Redis,Unit Testing,62
Confluence,Redis,62
DevOps,Hive,62
Cassandra,Data Modeling,62
Databricks,Terraform,62
JSON,PowerShell,62
Kubernetes,Redshift,62
Big Data,Node.js,61
Informatica,Power BI,61
Data Pipeline,Microservices,61
Grafana,PostgreSQL,61
Spark,Windows,61
CISSP,Jira,61
Kafka,XML,61
GCP,PHP,61
GitHub,jQuery,61
Agile / Scrum,Penetration Testing,61
Elasticsearch,Scala,61
Cybersecurity,ServiceNow,61
C#,Redis,61
ETL,Unit Testing,61
Cybersecurity,Excel,61
Microservices,Tableau,61
System Design,TypeScript,61
C++,Data Warehousing,60
BigQuery,Data Warehousing,60
C,Rust,60
Node.js,System Design,60
Data Visualization,Windows,60
Angular,Figma,60
PHP,TypeScript,60
Deep Learning,Scala,60
Big Data,Elasticsearch,60
.NET,PostgreSQL,60
Docker,Risk Management,60
Salesforce,XML,60
AWS,MLflow,60
Docker,NumPy,60
Data Modeling,GitHub,60
C,HTML,60
Data Governance,Oracle,60
Agile / Scrum,MuleSoft,60
Big Data,Kanban,60
Agile / Scrum,Dynamics 365,60
C#,Scala,60
Data Warehousing,SAS,60
Cassandra,Jira,60
Deep Learning,Linear,59
Airflow,Jenkins,59
C#,Data Warehousing,59
System Design,Terraform,59
Data Visualization,MATLAB,59
Confluence,Unix,59
Data Modeling,Windows,59
Helm,Jenkins,59
GraphQL,Jenkins,59
SAP,Tableau,59
Ansible,Oracle,59
SAS,Spark,59
CI/CD,LLMs / GenAI,59
Figma,Java,59
Ansible,HTML,59
MySQL,VMware,59
Big Data,GitHub,59
DevOps,Django,59
Hadoop,Windows,59
Confluence,R,59
Bash,Kafka,59
Scala,Terraform,59
R,Stakeholder Mgmt,59
Docker,Redshift,59
Active Directory,C#,59
Active Directory,Penetration Testing,59
Linux,Prototyping,58
Cybersecurity,REST API,58
CI/CD,Firewalls,58
.NET,PHP,58
Data Pipeline,REST API,58
AWS,Stakeholder Mgmt,58
Hadoop,Informatica,58
Angular,Redshift,58
Kafka,Kotlin,58
Hadoop,SAS,58
MuleSoft,Salesforce,58
Airflow,Jira,58
JavaScript,SSIS,58
Kafka,Ruby,58
Power BI,React,58
HTML,Tableau,58
C,Cybersecurity,58
Dynamics 365,SQL,58
Django,MySQL,58
Azure,Django,58
Grafana,JavaScript,58
Big Data,Software Architecture,58
Kanban,Spark,58
Databricks,Docker,58
Stakeholder Mgmt,User Research,57
Bash,REST API,57
ServiceNow,VMware,57
Data Visualization,SAP,57
Penetration Testing,Splunk,57
C++,Data Pipeline,57
Git,NumPy,57
NoSQL,PowerShell,57
Power BI,PowerShell,57
Confluence,Splunk,57
Java,Penetration Testing,57
Kubernetes,jQuery,57
Ansible,ServiceNow,57
ETL,MySQL,57
GraphQL,Machine Learning,57
C++,LLMs / GenAI,57
Flask,REST API,57
AWS,Looker,57
Ansible,C#,57
Software Architecture,Spring,57
TypeScript,jQuery,57
Helm,Spark,57
.NET,Kanban,57
REST API,Snowflake,57
Data Pipeline,JavaScript,57
Distributed Systems,MongoDB,57
Ansible,Cassandra,57
Looker,Machine Learning,57
Looker,Spark,57
Big Data,Oracle,57
Bash,C,56
Deep Learning,Jupyter,56
C#,Tableau,56
GCP,System Design,56
Grafana,Microservices,56
Confluence,Elasticsearch,56
Data Pipeline,Jenkins,56
BigQuery,Data Visualization,56
Hive,Jira,56
Kafka,Kanban,56
C#,Salesforce,56
Data Visualization,Unit Testing,56
Tableau,Windows,56
Informatica,Spark,56
Docker,LLMs / GenAI,56
Big Data,HTML,56
Ansible,CISSP,56
Data Visualization,dbt,56
Node.js,Snowflake,56
Bash,Firewalls,56
Data Governance,Git,56
Databricks,Redshift,56
Data Warehousing,Go,56
Elasticsearch,Prometheus,56
Oracle,System Design,56
BigQuery,Machine Learning,56
Jira,System Design,56
CISSP,Java,56
DevOps,Excel,56
Flink,Machine Learning,56
C#,Swift,56
GCP,MLflow,56
CISSP,Git,56
Node.js,Vue,55
Data Modeling,React,55
C++,Swift,55
Docker,Prototyping,55
Data Pipeline,dbt,55
Cybersecurity,Stakeholder Mgmt,55
NLP,Power BI,55
Azure,SAP,55
Airflow,Git,55
Data Visualization,System Design,55
Spring Boot,jQuery,55
C#,Risk Management,55
Confluence,Scala,55
Active Directory,Oracle,55
ETL,dbt,55
SSIS,Snowflake,55
AWS,dbt,55
C#,Spark,55
Data Governance,Looker,55
Big Data,Windows,55
AWS,Excel,55
Datadog,JavaScript,55
C++,Statistical Analysis,55
Big Data,Confluence,55
Big Data,C#,55
Machine Learning,Redis,55
Cassandra,GitLab,55
Django,REST API,55
Data Warehousing,Jenkins,55
Agile / Scrum,Flink,54
Spring Boot,Terraform,54
Angular,Hive,54
Kotlin,Machine Learning,54
C++,Pandas,54
.NET,Machine Learning,54
Grafana,Jira,54
Microservices,Prometheus,54
CSS,Ruby,54
C,Jenkins,54
Java,Statistical Analysis,54
Docker,Flink,54
Data Warehousing,dbt,54
Hadoop,JSON,54
Kanban,PostgreSQL,54
Redis,Spring,54
Agile / Scrum,Incident Response,54
BigQuery,Snowflake,54
Bash,JSON,54
Jenkins,PHP,54
Hadoop,Statistical Analysis,54
Datadog,Linux,54
MySQL,Power BI,54
Cassandra,HTML,53
C++,Elasticsearch,53
Java,SAP,53
Data Governance,Stakeholder Mgmt,53
C++,NumPy,53
GitLab,Unix,53
Cybersecurity,Zero Trust,53
Airflow,Confluence,53
Data Analysis,Redis,53
Machine Learning,Spring,53
Kanban,Power BI,53
SQL,SageMaker,53
GitHub,Swift,53
Data Pipeline,Looker,53
JavaScript,SAS,53
Data Visualization,GitHub,53
Cybersecurity,Microservices,53
Oracle,R,53
NumPy,Tableau,53
Hive,Jenkins,53
Prometheus,SQL,53
Oracle,VMware,53
Ansible,System Design,53
Kanban,Oracle,53
Incident Response,Java,53
GitHub,Software Architecture,53
NoSQL,Risk Management,53
BigQuery,Data Modeling,53
ETL,Unix,53
Flask,Machine Learning,53
Data Visualization,Jenkins,53
CSS,Spark,53
Big Data,Risk Management,53
AWS,SageMaker,52
Big Data,Flink,52
Data Visualization,Distributed Systems,52
Azure,Flink,52
Active Directory,SIEM,52
ArgoCD,Python,52
DynamoDB,GitLab,52
Go,LLMs / GenAI,52
Hadoop,Kanban,52
Confluence,Data Warehousing,52
C#,Excel,52
Datadog,GitHub,52
Linear,TensorFlow,52
Airflow,Terraform,52
DevOps,LLMs / GenAI,52
Go,Kotlin,52
ETL,JSON,52
Active Directory,Docker,52
GitHub,Prometheus,52
Ansible,PHP,52
Cybersecurity,GitHub,52
Java,MuleSoft,52
Risk Management,Software Architecture,52
Active Directory,Bash,52
GraphQL,Terraform,52
Git,Rust,52
PowerShell,XML,52
Oracle,Ruby,52
GitHub,Splunk,52
Data Pipeline,Linux,52
Kubernetes,Prototyping,52
Kanban,Terraform,52
MATLAB,Statistical Analysis,52
MongoDB,Software Architecture,52
Django,HTML,52
Risk Management,SAS,52
Data Analysis,Penetration Testing,52
Data Pipeline,GitHub,52
FastAPI,Python,52
Flink,NoSQL,52
Active Directory,HTML,51
Active Directory,Data Analysis,51
CISSP,JavaScript,51
BigQuery,Tableau,51
Jenkins,Risk Management,51
MongoDB,jQuery,51
Django,Node.js,51
Active Directory,Git,51
Linux,NLP,51
PowerShell,SIEM,51
MATLAB,Windows,51
Kubernetes,Pandas,51
Microservices,PowerShell,51
Airflow,Helm,51
GitHub,Unix,51
Kotlin,Scala,51
Distributed Systems,Spring,51
NumPy,R,51
MuleSoft,SQL,51
Helm,Java,51
Django,MongoDB,51
Angular,Unix,51
Jira,Ruby,51
Datadog,SQL,51
ArgoCD,Docker,50
Data Modeling,Node.js,50
Oracle,TypeScript,50
Kotlin,Software Architecture,50
Distributed Systems,PHP,50
Ruby,TypeScript,50
Tableau,dbt,50
AWS,Helm,50
Data Visualization,Go,50
Datadog,GCP,50
Flask,PostgreSQL,50
Splunk,Spring,50
Databricks,PyTorch,50
CSS,Django,50
Git,Risk Management,50
Snowflake,Terraform,50
Data Modeling,NLP,50
GitLab,Spring,50
Rust,SQL,50
Databricks,Jenkins,50
AWS,Next.js,50
C,React,50
Kotlin,PostgreSQL,50
.NET,Kafka,49
Angular,Data Visualization,49
Microservices,PHP,49
Data Pipeline,Jira,49
R,Redshift,49
Helm,Snowflake,49
CI/CD,Deep Learning,49
Big Data,LLMs / GenAI,49
A/B Testing,ETL,49
Kubernetes,NumPy,49
Distributed Systems,Snowflake,49
Active Directory,Unix,49
Confluence,Kotlin,49
Distributed Systems,Prometheus,49
JSON,PHP,49
.NET,SSIS,49
Ansible,TypeScript,49
JavaScript,MuleSoft,49
Big Data,Cybersecurity,49
DynamoDB,Oracle,49
Azure,Figma,49
Kafka,Looker,49
DynamoDB,Spring Boot,49
Kanban,MongoDB,49
Kanban,Kotlin,49
CI/CD,Vue,49
Go,Incident Response,49
DynamoDB,Redis,49
.NET,Unix,49
Bash,XML,49
Bash,MongoDB,49
Active Directory,CI/CD,49
Data Warehousing,Terraform,49
Data Pipeline,Node.js,49
Confluence,Figma,48
Firewalls,Unix,48
